"student","currProb","course","session","priorTutorAction","reward","Interaction","hintCount","TotalTime","TotalPSTime","TotalWETime","avgstepTime","avgstepTimePS","stepTimeDeviation","symbolicRepresentationCount","englishSymbolicSwitchCount","Level","probDiff","difficultProblemCountSolved","difficultProblemCountWE","easyProblemCountSolved","easyProblemCountWE","probAlternate","easyProbAlternate","RuleTypesCount","UseCount","PrepCount","MorphCount","OptionalCount","NewLevel","SolvedPSInLevel","SeenWEinLevel","probIndexinLevel","probIndexPSinLevel","InterfaceErrorCount","RightApp","WrongApp","WrongSemanticsApp","WrongSyntaxApp","PrightAppRatio","RrightAppRatio","F1Score","FDActionCount","BDActionCount","DirectProofActionCount","InDirectProofActionCount","actionCount","UseWindowInfo","NonPSelements","AppCount","AppRatio","hintRatio","BlankRatio","HoverHintCount","SystemInfoHintCount","NextStepClickCountWE","PreviousStepClickCountWE","deletedApp","ruleScoreMP","ruleScoreDS","ruleScoreSIMP","ruleScoreMT","ruleScoreADD","ruleScoreCONJ","ruleScoreHS","ruleScoreCD","ruleScoreDN","ruleScoreDEM","ruleScoreIMPL","ruleScoreCONTRA","ruleScoreEQUIV","ruleScoreCOM","ruleScoreASSOC","ruleScoreDIST","ruleScoreABS","ruleScoreEXP","ruleScoreTAUT","cumul_Interaction","cumul_hintCount","cumul_TotalTime","cumul_TotalPSTime","cumul_TotalWETime","cumul_avgstepTime","cumul_avgstepTimeWE","cumul_avgstepTimePS","cumul_symbolicRepresentationCount","cumul_englishSymbolicSwitchCount","cumul_difficultProblemCountSolved","cumul_difficultProblemCountWE","cumul_easyProblemCountSolved","cumul_easyProblemCountWE","cumul_probAlternate","cumul_easyProbAlternate","cumul_RuleTypesCount","cumul_UseCount","cumul_PrepCount","cumul_MorphCount","cumul_OptionalCount","cumul_probIndexinLevel","cumul_InterfaceErrorCount","cumul_RightApp","cumul_WrongApp","cumul_WrongSemanticsApp","cumul_WrongSyntaxApp","cumul_PrightAppRatio","cumul_RrightAppRatio","cumul_F1Score","cumul_FDActionCount","cumul_BDActionCount","cumul_DirectProofActionCount","cumul_InDirectProofActionCount","cumul_actionCount","cumul_UseWindowInfo","cumul_NonPSelements","cumul_AppCount","cumul_AppRatio","cumul_hintRatio","cumul_BlankRatio","cumul_HoverHintCount","cumul_SystemInfoHintCount","cumul_NextStepClickCountWE","cumul_PreviousStepClickCountWE","cumul_deletedApp","CurrPro_NumProbRule","CurrPro_avgProbTime","CurrPro_avgProbTimePS","CurrPro_avgProbTimeDeviationPS","CurrPro_avgProbTimeWE","CurrPro_avgProbTimeDeviationWE","CurrPro_medianProbTime"
"000b-F14","3.-1.4.0","226-001-BARNES-F14",2,"PS",2.714932127,22,0,81.7,81.7,0,3.268,3.268,9.382928128,1,0,3,-1,0,0,1,0,0,0,2,3,2,0,0,0,0,0,3,3,6,4,1,0,1,0.210526316,0.8,0.333333333,19,0,19,0,19,0,0,19,1,0,0,0,0,0,0,0,0.094446237,0.130334133,0.971318243,0.303669742,0.090510821,0.221737738,0.011847427,0.01,0.024655882,0.027247848,0.122358119,0.01,0.01,0.01,0.011340922,0.01,0.01,0.01,0.01,127,0,764.699,720.94,43.759,5.749616541,6.251285714,5.721746032,4,0,0,0,3,1,0,0,4,18,8,5,1,3,21,19,13,4,9,0.179245283,1.055555556,0.306451613,112,0,112,0,112,0,6,106,0.946428571,0,0.053571429,0,0,6,0,3,4,179.7953118,179.7953118,295.916315,0,0,79.2725
"000b-F14","4.1.1.0","226-001-BARNES-F14",2,"PS",0,22,0,123.028,123.028,0,5.126166667,5.126166667,9.251836804,1,0,4,1,1,0,0,0,0,0,2,4,2,0,0,1,1,0,0,0,6,6,0,0,0,0.333333333,1,0.5,18,0,18,0,18,0,0,18,1,0,0,0,0,0,0,0,0.094446237,0.318851527,0.996921207,0.573744145,0.090510821,0.221737738,0.132399304,0.01,0.024655882,0.027247848,0.122358119,0.01,0.01,0.01,0.011340922,0.01,0.01,0.01,0.01,22,0,123.028,123.028,0,5.126166667,5.24969423,5.126166667,1,0,1,0,0,0,0,0,2,4,2,0,0,0,6,6,0,0,0,0.333333333,1,0.5,18,0,18,0,18,0,0,18,1,0,0,0,0,0,0,0,4,164.8392672,125.7966863,260.6786393,31.91924912,60.61856213,99.6955
"000b-F14","4.1.2.0","226-001-BARNES-F14",2,"WE",0,10,0,87.543,0,87.543,8.7543,5.730519118,9.241532743,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0.166056337,0,0.323480324,8,0,8,0,8,0,8,0,0,0,1,0,0,8,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,32,0,210.571,123.028,87.543,6.193264706,8.7543,5.126166667,2,0,1,1,0,0,0,0,2,4,2,0,0,1,8,6,0,0,0,0.333333333,0.5,0.4,26,0,26,0,26,0,8,18,0.692307692,0,0.307692308,0,0,8,0,0,5,264.2295038,213.6990389,510.6006303,33.5009639,54.88639744,63.2005
"000b-F14","4.1.3.0","226-001-BARNES-F14",2,"PS",62.56868132,95,0,1183.273,1183.273,0,12.19869072,12.19869072,12.63516465,1,0,4,1,1,0,0,0,0,0,2,23,3,0,0,0,0,0,2,1,16,17,9,7,2,0.209876543,2.833333333,0.390804598,81,0,81,0,81,0,0,81,1,0,0,3,0,0,0,1,0.504016754,0.318851527,0.999677226,0.573744145,0.090510821,0.468623991,0.322716447,0.775054751,0.024655882,0.027247848,0.122358119,0.01,0.01,0.01,0.011340922,0.01,0.01,0.01,0.01,127,0,1393.844,1306.301,87.543,10.64003053,8.7543,10.79587603,3,0,2,1,0,0,0,0,2,27,5,0,0,2,24,23,9,7,2,0.232323232,1.277777778,0.393162393,107,0,107,0,107,0,8,99,0.925233645,0,0.074766355,3,0,8,0,1,5,705.756679,705.756679,623.5281073,0,0,506.664
"000b-F14","5.1.1.0","226-001-BARNES-F14",2,"PS",0,156,5,1566.121,1566.121,0,9.912158228,9.912158228,13.13421984,1,0,5,1,1,0,0,0,0,0,4,10,2,12,7,1,1,0,0,0,9,18,13,9,4,0.126760563,3.6,0.244897959,149,0,149,0,149,0,7,142,0.953020134,0.033557047,0.046979866,42,0,0,0,3,0.131727815,0.656806998,0.999677226,0.073018915,0.272442105,0.468623991,0.297591124,0.775054751,0.024655882,0.057247228,0.98692206,0.039311765,0.01,0.01,0.027598299,0.01,0.011547283,0.027247848,0.01,156,5,1566.121,1566.121,0,9.912158228,5.24969423,9.912158228,1,0,1,0,0,0,0,0,4,10,2,12,7,0,9,18,13,9,4,0.126760563,3.6,0.244897959,149,0,149,0,149,0,7,142,0.953020134,0.033557047,0.046979866,42,0,0,0,3,5,136.7717735,113.2824938,220.7980538,18.59096443,32.38021109,67.9345
"000b-F14","5.1.2.0","226-001-BARNES-F14",2,"WE",0,11,0,45.222,0,45.222,4.111090909,5.730519118,13.12639793,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.166056337,0,0.323480324,10,0,10,0,10,0,10,0,0,0,1,0,0,10,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,167,5,1611.343,1566.121,45.222,9.534573964,4.111090909,9.912158228,2,0,1,1,0,0,0,0,4,10,2,12,7,1,10,18,13,9,4,0.126760563,1.384615385,0.232258065,159,0,159,0,159,0,17,142,0.893081761,0.031446541,0.106918239,42,0,10,0,3,6,88.52143265,58.20607937,172.7969031,27.74632016,35.8557963,41.78
"000b-F14","5.1.3.0","226-001-BARNES-F14",2,"PS",40.28110048,49,0,336.883,336.883,0,6.60554902,6.60554902,12.76810778,1,0,5,1,1,0,0,0,0,0,3,2,0,5,3,0,0,0,2,1,5,7,3,3,0,0.152173913,1.166666667,0.269230769,46,0,46,0,46,0,0,46,1,0,0,8,0,0,0,1,0.131727815,0.656806998,0.999677226,0.200412493,0.272442105,0.468623991,0.566692661,0.775054751,0.024655882,0.652043874,0.99861632,0.039311765,0.01,0.01,0.027598299,0.01,0.011551145,0.027247848,0.01,216,5,1948.226,1903.004,45.222,8.855572727,4.111090909,9.105282297,3,0,2,1,0,0,0,0,4,12,2,17,10,2,15,25,16,12,4,0.132978723,1.315789474,0.241545894,205,0,205,0,205,0,17,188,0.917073171,0.024390244,0.082926829,50,0,10,0,4,5,537.6418304,537.6411391,788.7727724,0.00060687,0.009823053,354.852
"000b-F14","6.1.1.0","226-001-BARNES-F14",2,"PS",0,56,1,608.119,608.119,0,10.48481034,10.48481034,13.04438246,1,0,6,1,1,0,0,0,0,0,2,8,2,0,0,1,1,0,0,0,5,3,7,6,1,0.057692308,0.428571429,0.101694915,53,0,53,0,53,0,1,52,0.981132075,0.018867925,0.018867925,6,0,0,0,2,0.131727815,0.656806998,0.999677226,0.200412493,0.272442105,0.893438691,0.566692661,0.105385222,0.024655882,0.652043874,0.99861632,0.039311765,0.01,0.01,0.027598299,0.01,0.011551145,0.027247848,0.01,56,1,608.119,608.119,0,10.48481034,5.24969423,10.48481034,1,0,1,0,0,0,0,0,2,8,2,0,0,0,5,3,7,6,1,0.057692308,0.428571429,0.101694915,53,0,53,0,53,0,1,52,0.981132075,0.018867925,0.018867925,6,0,0,0,2,6,142.0847729,117.483358,185.2095986,20.56411654,40.87964397,78.412
"000b-F14","6.1.2.0","226-001-BARNES-F14",2,"WE",0,3,0,60.201,0,60.201,20.067,5.730519118,13.03817702,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.166056337,0,0.323480324,2,0,2,0,2,0,2,0,0,0,1,0,0,2,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,59,1,668.32,608.119,60.201,10.95606557,20.067,10.48481034,2,0,1,1,0,0,0,0,2,8,2,0,0,1,6,3,7,6,1,0.057692308,0.230769231,0.092307692,55,0,55,0,55,0,3,52,0.945454545,0.018181818,0.054545455,6,0,2,0,2,5,112.6867266,102.5303282,313.4651755,7.518393939,16.41704625,5.8105
"000b-F14","6.1.3.0","226-001-BARNES-F14",2,"PS",10.24460046,64,0,400.507,400.507,0,6.068287879,6.068287879,9.652389106,1,0,6,1,1,0,0,0,0,0,3,3,5,9,0,0,0,0,2,1,14,14,3,3,0,0.269230769,2.333333333,0.482758621,52,0,52,0,52,0,0,52,1,0,0,3,0,0,0,0,0.321462557,0.855095603,0.999996471,0.200412493,0.272442105,0.9628288,0.566692661,0.105385222,0.216640149,0.777731303,0.99942339,0.039311765,0.039311765,0.01,0.027598299,0.01,0.011551145,0.027247848,0.01,123,1,1068.827,1008.626,60.201,8.41596063,20.067,8.134080645,3,0,2,1,0,0,0,0,3,11,7,9,0,2,20,17,10,9,1,0.163461538,0.894736842,0.276422764,107,0,107,0,107,0,3,104,0.971962617,0.009345794,0.028037383,9,0,2,0,2,8,457.3999871,457.3999871,605.6075083,0,0,303.571
