0,0,0,0,0,1,1,1,1,1,1,2,3,4,5,6,7,8,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0,0,0,1,1,1,1,1,1,1,2,3,4,5,6,6,7,19,23,26,30,34,38,42,46,49,53,57,61,65,69,72
2,3,3,3,3,4,4,4,5,5,5,3,4,5,6,7,8,9,9,11,13,15,17,19,21,22,24,26,28,30,32,34,36
0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6,7,8,25,30,35,41,46,51,56,61,66,71,77,82,87,92,97
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,6,7,26,31,37,42,47,53,58,63,68,74,79,84,90,95,100
1,1,1,1,2,2,2,2,2,2,2,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,6,7,25,30,35,40,45,50,55,60,65,70,76,81,86,91,96
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,24,29,34,39,44,49,53,58,63,68,73,78,83,88,93
1,1,1,1,1,2,2,2,2,2,2,2,3,4,5,6,7,8,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56
1,2,2,2,2,2,2,3,3,3,3,3,4,5,6,7,8,9,14,16,19,22,25,28,30,33,36,39,42,44,47,50,53
1,1,1,2,2,2,2,2,2,3,3,2,3,4,5,5,6,7,22,27,31,36,40,45,49,54,59,63,68,72,77,81,86
1,1,2,2,2,2,2,2,3,3,3,2,3,4,5,6,7,7,6,8,9,10,12,13,14,16,17,18,20,21,22,24,25
2,2,2,2,3,3,3,3,3,4,4,2,3,4,5,6,6,7,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,16,19,23,26,29,32,36,39,42,46,49,52,56,59,62
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,6,7,8,22,27,31,36,41,45,50,54,59,63,68,73,77,82,86
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,17,20,24,27,31,34,37,41,44,48,51,55,58,62,65
2,2,2,2,2,3,3,3,3,3,4,2,3,4,5,6,7,8,21,25,30,34,38,42,47,51,55,60,64,68,72,77,81
2,2,2,2,2,3,3,3,3,3,4,2,3,4,5,6,6,7,21,26,30,35,39,43,48,52,57,61,65,70,74,79,83
2,2,2,2,3,3,3,3,4,4,4,2,3,4,5,5,6,7,22,27,31,36,40,45,49,54,58,63,68,72,77,81,86
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,24,29,34,39,44,49,53,58,63,68,73,78,83,88,93
0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,7,7,19,23,27,30,34,38,42,46,50,54,58,61,65,69,73
5,5,6,6,7,7,8,8,9,9,10,3,4,5,6,8,9,10,12,14,17,19,22,24,27,29,31,34,36,39,41,44,46
5,6,7,7,8,8,9,10,10,11,11,3,4,6,7,8,9,10,31,37,44,50,56,63,69,75,82,88,94,101,107,113,120
4,5,5,6,6,7,7,8,8,9,9,2,2,3,4,5,5,6,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
6,6,7,7,8,9,9,10,10,11,12,2,3,4,5,5,6,7,8,10,12,14,16,17,19,21,23,25,26,28,30,32,33
2,2,2,3,3,3,3,3,4,4,4,3,4,5,6,7,8,9,27,33,39,44,50,55,61,66,72,78,83,89,94,100,105
1,2,2,2,2,2,3,3,3,3,3,2,3,4,4,5,6,7,23,28,33,38,43,47,52,57,62,66,71,76,81,86,90
3,3,4,4,4,5,5,5,6,6,6,2,3,4,5,6,7,8,14,16,19,22,25,28,31,33,36,39,42,45,48,50,53
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,12,14,16,19,21,24,26,29,31,33,36,38,41,43,46
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,23,27,32,36,41,46,50,55,60,64,69,73,78,83,87
1,1,1,2,2,2,2,2,2,3,3,2,3,4,5,6,7,8,8,10,12,14,15,17,19,21,23,24,26,28,30,31,33
1,1,1,1,1,2,2,2,2,2,2,2,3,4,5,5,6,7,19,23,27,31,35,39,43,47,51,55,58,62,66,70,74
3,3,3,4,4,4,5,5,5,6,6,2,3,4,5,6,7,8,8,10,12,14,16,17,19,21,23,24,26,28,30,32,33
4,4,4,5,5,6,6,6,7,7,8,2,3,4,5,6,7,7,20,24,28,32,36,40,44,48,52,57,61,65,69,73,77
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,16,19,23,26,29,33,36,39,42,46,49,52,56,59,62
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
1,1,1,1,2,2,2,2,2,2,2,2,3,4,5,6,7,8,23,27,32,36,41,46,50,55,60,64,69,73,78,83,87
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,20,24,29,33,37,41,45,49,54,58,62,66,70,74,78
1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,6,7,8,20,24,28,32,36,40,44,49,53,57,61,65,69,73,77
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,24,28,33,38,43,48,52,57,62,67,72,76,81,86,91
1,2,2,2,2,2,3,3,3,3,3,2,3,4,5,6,7,8,21,25,30,34,38,43,47,51,56,60,64,68,73,77,81
2,2,2,3,3,3,3,4,4,4,4,2,3,4,5,6,7,8,7,9,11,12,14,15,17,19,20,22,23,25,27,28,30
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,6,7,26,31,37,42,47,53,58,63,69,74,79,85,90,95,101
7,8,8,9,10,11,11,12,13,14,14,3,5,6,7,9,10,11,17,20,24,27,31,34,38,41,45,48,51,55,58,62,65
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,25,30,36,41,46,51,56,61,66,72,77,82,87,92,97
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,6,7,24,29,34,39,43,48,53,58,63,68,73,78,82,87,92
0,0,0,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,13,16,19,21,24,27,29,32,35,38,40,43,46,48,51
19,21,23,25,26,28,30,32,34,36,38,5,7,9,11,13,15,17,33,39,46,53,59,66,73,79,86,93,99,106,112,119,126
15,16,18,19,21,22,24,25,27,29,30,1,1,2,2,3,3,4,17,21,25,28,32,35,39,42,46,50,53,57,60,64,67
15,16,18,19,21,22,24,25,27,29,30,1,1,2,2,3,3,4,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6
19,21,23,25,26,28,30,32,34,36,38,2,2,3,4,4,5,6,18,22,26,30,34,37,41,45,49,53,56,60,64,68,71
3,3,4,4,5,5,5,6,6,6,7,3,4,5,6,7,8,9,20,24,28,32,36,40,44,48,53,57,61,65,69,73,77
3,3,3,3,4,4,4,5,5,5,6,2,3,4,4,5,6,7,19,23,27,30,34,38,42,46,50,54,58,61,65,69,73
3,4,4,4,5,5,5,6,6,6,7,2,3,4,5,5,6,7,21,25,29,34,38,42,47,51,55,59,64,68,72,76,81
2,2,3,3,3,3,4,4,4,4,5,3,4,5,6,7,8,9,12,15,18,20,23,25,28,30,33,36,38,41,43,46,48
2,2,2,2,3,3,3,3,3,4,4,2,3,4,5,5,6,7,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
4,5,5,6,6,7,7,8,8,9,9,2,3,4,5,6,7,8,21,25,30,34,38,43,47,51,55,60,64,68,73,77,81
2,2,2,2,2,3,3,3,3,3,4,2,3,4,5,6,7,8,26,31,36,42,47,52,57,63,68,73,78,84,89,94,100
1,1,2,2,2,2,2,2,3,3,3,2,3,4,5,5,6,7,18,22,26,30,33,37,41,45,49,52,56,60,64,67,71
3,3,4,4,4,5,5,5,6,6,6,2,3,4,5,6,7,8,8,10,12,14,16,17,19,21,23,24,26,28,30,32,33
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,26,32,37,42,48,53,58,64,69,74,80,85,90,96,101
37,41,44,48,52,56,59,63,67,71,74,8,11,14,17,20,23,26,49,59,69,79,89,99,109,119,129,139,149,159,169,179,189
1,1,1,1,2,2,2,2,2,2,2,2,3,4,5,6,7,8,26,32,37,43,48,53,59,64,70,75,80,86,91,97,102
1,1,1,1,1,1,2,2,2,2,2,2,3,4,5,5,6,7,24,28,33,38,43,48,53,57,62,67,72,77,82,86,91
3,4,4,4,5,5,5,6,6,6,7,3,4,5,6,7,8,9,15,18,21,24,27,30,33,36,39,43,46,49,52,55,58
