0,1,2
-411.125610094,521.053882756,-299.567795013
-570.607208482,-289.207116927,146.028518579
-562.186659753,-151.189220249,-706.358672275
531.404664971,318.424285781,114.710179893
-933.025696836,185.47240517,-133.592224383
-931.038101783,-123.705380667,8.3508801319
-801.376271405,-126.752918253,100.252601368
-1247.35804031,75.4861115423,-522.437165464
-1252.94890184,-100.241076603,42.3975968494
-966.550680147,61.4410408492,-0.4357796094
-883.066935732,133.474151846,278.654161222
-938.86359444,-154.380066676,-40.054151683
1219.90674885,1146.95150461,-400.472071977
-650.898914358,250.858230685,362.654913828
-787.779831291,-296.504648101,338.090357042
679.102250486,691.591435065,-405.464325935
-851.990226665,136.772337468,352.919638121
-953.059737888,-236.340429353,228.012148833
966.909694438,946.171941089,-129.01411651
-1298.83631637,28.5422352548,-416.896344407
-1126.82596522,-21.705536308,194.74609338
-1084.54382725,43.0088691926,-677.88842131
-928.937104169,-48.072868191,15.5006996711
-1058.10467398,116.193039706,-149.678497308
-1097.21172071,-133.38225423,8.6664442193
-897.374576803,-54.0290034437,116.986246698
-1060.45767138,180.806683714,-491.673234077
-1068.9448012,-119.135729447,42.676205259
-927.094393148,-61.9858306247,-22.9065942218
-1158.10602634,-18.8620023286,243.276024251
-1163.20685468,-100.293806811,-31.498028989
-679.289581462,278.957410603,-606.479912885
-1209.33009512,-58.4335968361,290.809862879
-1207.56307157,-167.600635299,357.44309763
-553.378982352,358.791531771,-492.644739915
-1137.98346564,-21.6368899339,316.146002669
-1170.1476747,-171.452786658,237.810137972
-834.951016009,128.738371372,-323.908060131
22.8886238895,761.428583686,-243.71364951
-164.969705086,-346.994450923,135.433706945
1836.94339713,853.501622494,-467.133670784
1670.99176869,-674.707353576,-76.6877041927
-1294.5509749,-15.7496047158,-183.753430968
-1302.80534758,-94.2328428938,12.9506784119
-1091.64988004,4.5791421935,124.972032563
-1328.50152957,32.1313652088,-526.940166532
-1335.90188599,-92.3595221392,47.8130903015
-1040.6363575,86.116866263,8.1388464642
-934.41062163,105.028394128,272.06818126
-1010.60900739,-160.248569444,-40.108743054
-58.8942560067,492.675071394,-552.410653874
-1078.06859557,14.2646236288,307.70084916
-1131.77973166,-210.131984354,351.622061087
-675.781045308,223.842604263,-521.001620692
-1347.99203221,-138.024588232,288.876484067
-1347.40285422,-133.379949637,243.849919433
-701.7601469,346.810141661,-276.551249626
-497.358351114,472.454622797,-313.733114273
-605.942166421,-254.013377169,148.669090513
-559.880714109,-116.408775184,-705.565861148
