student,currProb,course,session,priorTutorAction,reward,cumul_Interaction,Level,0,1,2,3,4,5
000b-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0,15,2,0,0,0,0,0,0
000b-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-9.165192393,62,2,0,0,0,0,0,0
000b-F14,3.-1.1.0,226-001-BARNES-F14,2,WE,0,7,3,0,0,0,0,0,0
000b-F14,3.-1.2.0,226-001-BARNES-F14,2,PS,0,72,3,0,0,0,0,0,0
000b-F14,3.-1.3.0,226-001-BARNES-F14,2,PS,0,105,3,0,0,0,0,0,0
000b-F14,3.-1.4.0,226-001-BARNES-F14,2,PS,2.714932127,127,3,0,0,0,0,0,0
000b-F14,4.1.1.0,226-001-BARNES-F14,2,PS,0,22,4,0,0,0,0,0,0
000b-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0,32,4,0,0,0,0,0,0
000b-F14,4.1.3.0,226-001-BARNES-F14,2,PS,62.56868132,127,4,0,0,0,0,0,0
000b-F14,5.1.1.0,226-001-BARNES-F14,2,PS,0,156,5,0,0,0,0,0,0
000b-F14,5.1.2.0,226-001-BARNES-F14,2,WE,0,167,5,0,0,0,0,0,0
000b-F14,5.1.3.0,226-001-BARNES-F14,2,PS,40.28110048,216,5,0,0,0,0,0,0
000b-F14,6.1.1.0,226-001-BARNES-F14,2,PS,0,56,6,0,0,0,0,0,0
000b-F14,6.1.2.0,226-001-BARNES-F14,2,WE,0,59,6,0,0,0,0,0,0
000b-F14,6.1.3.0,226-001-BARNES-F14,2,PS,10.24460046,123,6,0,0,0,0,0,0
000c-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,9,1,0,0,0,0,0,0
000c-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,14,1,0,0,0,0,0,0
000c-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0,69,1,0,0,0,0,0,0
000c-F14,1.0.4.0,226-001-BARNES-F14,2,PS,0,74,1,0,0,0,0,0,0
000c-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0,121,1,0,0,0,0,0,0
000c-F14,1.0.4.0,226-001-BARNES-F14,2,PS,40.78947368,166,1,0,0,0,0,0,0
000c-F14,2.1.1.0,226-001-BARNES-F14,3,WE,0,12,2,0,0,0,0,0,0
000c-F14,2.1.2.0,226-001-BARNES-F14,3,WE,0,23,2,0,0,0,0,0,0
000c-F14,2.1.3.0,226-001-BARNES-F14,3,PS,-31.04157452,49,2,0,0,0,0,0,0
000c-F14,3.1.1.0,226-001-BARNES-F14,3,WE,0,10,3,0,0,0,0,0,0
000c-F14,3.1.2.0,226-001-BARNES-F14,3,WE,0,20,3,0,0,0,0,0,0
000c-F14,3.1.3.0,226-001-BARNES-F14,3,PS,-17.32071469,58,3,0,0,0,0,0,0
000c-F14,4.1.1.0,226-001-BARNES-F14,3,WE,0,9,4,0,0,0,0,0,0
000c-F14,4.1.2.0,226-001-BARNES-F14,3,PS,0,73,4,0,0,0,0,1,0
000c-F14,4.1.3.0,226-001-BARNES-F14,4,PS,107.5728155,106,4,0,0,0,0,0,0
000c-F14,5.1.1.0,226-001-BARNES-F14,4,WE,0,8,5,0,0,0,0,0,0
000c-F14,5.1.2.0,226-001-BARNES-F14,4,WE,0,18,5,0,0,0,0,0,0
000c-F14,5.1.3.0,226-001-BARNES-F14,4,PS,-133.2057416,353,5,0,1,0,0,0,0
000c-F14,6.1.1.0,226-001-BARNES-F14,5,PS,0,16,6,0,0,0,0,0,0
000c-F14,6.1.2.0,226-001-BARNES-F14,5,WE,0,19,6,0,0,0,0,0,0
000c-F14,6.1.3.0,226-001-BARNES-F14,5,PS,133.2057416,47,6,0,1,0,0,0,0
0010-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,477,1,1,0,0,0,1,0
0010-F14,1.0.2.0,226-001-BARNES-F14,4,WE,0,488,1,0,0,0,0,0,0
0010-F14,1.0.3.0,226-001-BARNES-F14,4,WE,0,494,1,0,0,0,0,0,0
0010-F14,1.0.4.0,226-001-BARNES-F14,4,PS,-65.13157895,628,1,1,0,0,0,0,0
0010-F14,2.1.1.0,226-001-BARNES-F14,8,PS,0,95,2,0,0,0,0,0,0
0010-F14,2.1.2.0,226-001-BARNES-F14,8,WE,0,102,2,0,0,0,0,0,0
0010-F14,2.1.3.0,226-001-BARNES-F14,8,PS,132.8626714,124,2,0,0,0,1,0,0
