,student,currProb,course,session,priorTutorAction,reward,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,symbolicRepresentationCount,englishSymbolicSwitchCount,Level,probDiff,difficultProblemCountSolved,difficultProblemCountWE,easyProblemCountSolved,easyProblemCountWE,probAlternate,easyProbAlternate,RuleTypesCount,UseCount,PrepCount,MorphCount,OptionalCount,NewLevel,SolvedPSInLevel,SeenWEinLevel,probIndexinLevel,probIndexPSinLevel,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_Interaction,cumul_hintCount,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_difficultProblemCountSolved,cumul_difficultProblemCountWE,cumul_easyProblemCountSolved,cumul_easyProblemCountWE,cumul_probAlternate,cumul_easyProbAlternate,cumul_RuleTypesCount,cumul_UseCount,cumul_PrepCount,cumul_MorphCount,cumul_OptionalCount,cumul_probIndexinLevel,cumul_InterfaceErrorCount,cumul_RightApp,cumul_WrongApp,cumul_WrongSemanticsApp,cumul_WrongSyntaxApp,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_FDActionCount,cumul_BDActionCount,cumul_DirectProofActionCount,cumul_InDirectProofActionCount,cumul_actionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppCount,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,cumul_HoverHintCount,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,cumul_deletedApp,CurrPro_NumProbRule,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
10,0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,32,0,0,0,0,1,1,3,1,0,4,1,1,0,0,0,0,0,2,6,3,0,0,1,1,0,0,0,9,6,3,1,2,4,0,3,25,0,25,0,25,0,0,25,9,0,0,0,0,0,0,0,3,1,9,3,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2,1,2,1,0,1,0,0,0,0,0,2,6,3,0,0,0,9,6,3,1,2,4,0,3,25,0,25,0,25,0,0,25,9,0,0,0,0,0,0,0,4,2,1,1,6,7,1
11,0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,9,0,0,0,0,0,0,3,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,2,8,0,8,0,8,0,8,0,0,0,9,0,0,8,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,41,0,0,0,0,1,1,2,2,0,1,1,0,0,0,0,2,6,3,0,0,1,10,6,3,1,2,4,0,2,33,0,33,0,33,0,8,25,7,0,2,0,0,8,0,0,5,3,2,4,6,6,1
12,0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.60887656,122,0,1,1,0,1,1,3,1,0,4,1,1,0,0,0,0,0,3,21,5,1,0,0,0,0,2,1,24,10,17,12,5,1,0,1,100,0,100,0,100,0,0,100,9,0,0,0,0,0,0,0,6,1,9,0,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,163,0,1,1,0,2,1,3,3,0,2,1,0,0,0,0,3,27,8,1,0,2,34,16,20,13,7,2,0,1,133,0,133,0,133,0,8,125,9,0,0,0,0,8,0,0,5,9,9,5,0,0,9
13,0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,53,0,0,0,0,1,1,3,1,0,5,1,1,0,0,0,0,0,4,7,2,3,1,1,1,0,0,0,8,4,9,6,3,1,0,1,47,0,47,0,47,0,0,47,9,0,0,0,0,0,0,0,1,1,8,0,9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,4,7,2,3,1,0,8,4,9,6,3,1,0,1,47,0,47,0,47,0,0,47,9,0,0,0,0,0,0,0,5,1,1,1,3,3,1
14,0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,11,0,0,0,0,0,0,3,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,2,10,0,10,0,10,0,10,0,0,0,9,0,0,10,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,64,0,0,0,0,1,0,2,2,0,1,1,0,0,0,0,4,7,2,3,1,1,9,4,9,6,3,1,0,0,57,0,57,0,57,0,10,47,8,0,1,0,0,10,0,0,6,0,0,1,5,4,0
15,0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.68831169,62,0,0,0,0,2,2,3,1,0,5,1,1,0,0,0,0,0,4,4,1,11,1,0,0,0,2,1,11,8,9,7,2,2,0,2,53,0,53,0,53,0,0,53,9,0,0,0,0,0,0,0,0,0,8,0,9,6,8,0,0,0,1,0,0,0,0,0,0,0,0,126,0,0,0,0,2,0,3,3,0,2,1,0,0,0,0,4,11,3,14,2,2,20,12,18,13,5,2,0,1,110,0,110,0,110,0,10,100,9,0,0,0,0,10,0,0,5,7,7,7,0,0,7
16,0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0.0,23,0,0,0,0,1,1,3,1,0,6,1,1,0,0,0,0,0,2,4,1,0,0,1,1,0,0,0,5,2,3,2,1,1,0,1,20,0,20,0,20,0,0,20,9,0,0,2,0,0,0,0,0,0,8,0,9,8,8,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,2,1,3,1,0,1,0,0,0,0,0,2,4,1,0,0,0,5,2,3,2,1,1,0,1,20,0,20,0,20,0,0,20,9,0,0,2,0,0,0,0,6,1,1,1,4,4,1
17,0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0.0,3,0,0,0,0,0,0,3,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,2,2,0,2,0,2,0,2,0,0,0,9,0,0,2,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,26,0,0,0,0,2,0,3,2,0,1,1,0,0,0,0,2,4,1,0,0,1,6,2,3,2,1,1,0,0,22,0,22,0,22,0,2,20,9,0,0,2,0,2,0,0,5,1,1,2,1,1,0
18,0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.76975361,120,0,1,1,0,1,1,3,1,0,6,1,1,0,0,0,0,0,4,10,5,11,5,0,0,0,2,1,20,15,16,11,5,2,0,2,102,0,102,0,102,0,0,102,9,0,0,11,0,0,0,0,0,0,9,1,9,9,4,0,1,2,3,0,0,0,0,0,0,0,0,146,0,0,1,0,2,0,3,3,0,2,1,0,0,0,0,4,14,6,11,5,2,26,17,19,13,6,2,0,1,124,0,124,0,124,0,2,122,9,0,0,13,0,2,0,0,8,6,6,5,0,0,5
19,0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,6,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,2,5,0,5,0,5,0,5,0,0,0,9,0,0,5,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,6,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,5,0,5,0,5,0,5,0,0,0,9,0,0,5,0,0,3,6,5,7,9,9,4
