,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,englishSymbolicSwitchCount,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_Interaction,cumul_hintCount,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_UseCount,cumul_PrepCount,cumul_MorphCount,cumul_OptionalCount,cumul_InterfaceErrorCount,cumul_RightApp,cumul_WrongApp,cumul_WrongSemanticsApp,cumul_WrongSyntaxApp,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_FDActionCount,cumul_BDActionCount,cumul_DirectProofActionCount,cumul_InDirectProofActionCount,cumul_actionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppCount,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,cumul_HoverHintCount,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,cumul_deletedApp,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
cumul_DirectProofActionCount,0.457962901099,0.126200827766,0.336977575311,0.349780531936,-0.193287002917,-0.00777655092592,-0.047116944589,-0.00427279220629,0.0858889774452,0.430423482386,0.393030082791,0.41331740324,0.36172412129,0.332198958997,0.382685241141,0.465852433032,0.407901485348,0.424776670542,-0.118945924938,0.423915798467,-0.237877003409,0.464625488615,0.093518163092,0.499732097922,0.0937523736224,0.464944762966,0.0131895032822,0.0161670739868,0.47357611027,0.317469177436,0.048101185723,-0.317469177436,0.286594944191,0.00790631290519,-0.314030163693,-0.0738559258952,0.360280658758,-0.200604203758,-0.158277342947,-0.148238572847,-0.114699812408,-0.0341714545838,-0.113641184239,-0.0799930398102,0.00231366132051,0.0508299932769,-0.0162987367367,-0.0357163440085,0.322171620646,0.125825897943,0.202311794678,0.029128894272,0.0135930904499,0.015284176941,0.0329849731597,0.0383899783251,0.93364956563,0.445715507273,0.725333396728,0.73176180092,0.0757534058617,0.0149777267652,-0.0130939524439,-0.0203559828739,0.358253216408,0.307914720245,0.844012997654,0.811053736321,0.806831603756,0.708537435848,0.74472220309,0.791643217474,0.87242519279,0.798885276253,0.792758360245,-0.267966408447,0.38963183301,-0.336141941049,0.93612591641,0.21111643458,1.0,0.198935974591,0.936731028542,0.117513870216,0.571640468609,0.931974137243,0.386623003369,0.0259567455223,-0.386623003369,0.517200769303,0.157389398127,0.0936195146601,0.105112426877,0.692921299455,-0.0338593243842,0.00395376054693,-0.0224986268727,-0.318962830725,-0.308498830146,-0.0887328167304
cumul_InDirectProofActionCount,0.284359543117,0.0085857333722,0.233991762854,0.238136527106,-0.0705291607102,0.0106756401562,-0.00597072265244,-0.0308954840261,0.0293213549024,0.170908945123,0.209251823252,0.29260366543,0.193560825587,0.211668215953,0.297546321742,0.210326720778,0.216136361955,0.167425515208,-0.0412451300231,0.302028411573,-0.0727803174662,0.28743900952,0.0254121436342,0.0591440473953,0.610082878815,0.286949031501,0.0116212485987,0.0685354317722,0.28723781647,0.118562475462,-0.0301914691367,-0.118562475462,0.150723512587,0.00543186646401,-0.115633968117,-0.036745392898,0.165594340443,-0.0962725206499,-0.0480953946315,0.0552713065636,-0.0592357795077,-0.0972966609573,0.0183428537119,-0.0547294835362,-0.0351681633686,0.147699297216,0.0593036774578,-0.00377726351449,0.0889634912282,0.0366370502971,0.228306652405,0.0303227493754,-0.00856819957922,-0.0114443986231,0.118929327987,0.240108920808,0.522889558824,0.0552360443287,0.478313078006,0.482773522712,0.0411933520653,-0.012136903831,0.0156587868731,-0.0333639520635,0.0951685981714,0.075504852022,0.295971641237,0.396747966424,0.589662496469,0.351920841196,0.385093500829,0.56365463715,0.390357960841,0.409605473316,0.31865028689,-0.0558067228598,0.363903911266,-0.0296755438316,0.530480626505,0.0357597158845,0.198935974591,1.0,0.529402840501,0.0415507322558,0.272694135987,0.531768451363,0.152080831072,-0.0561503910127,-0.152080831068,0.24072771442,0.0218506383407,0.0798607894294,0.00923559839654,0.349760240582,0.00922133654414,0.0247556753347,0.0102571771177,-0.121490796869,-0.118950191021,-0.00665107413721
cumul_actionCount,0.498016407283,0.112315410033,0.37529181789,0.387855460099,-0.192515644882,-0.00291872758471,-0.0429205557383,-0.0147343779237,0.0848250624201,0.433652930874,0.414978131462,0.462312707239,0.382272742336,0.36318136574,0.437560728496,0.478402432382,0.430310990037,0.427520393166,-0.117700621684,0.474853872663,-0.231920103653,0.504883983355,0.0900331157795,0.453730319025,0.29907399218,0.504985355711,0.0155687854596,0.0384755255612,0.512560432896,0.317173814551,0.0308558392151,-0.317173814551,0.3019343955,0.00878448796004,-0.313150720952,-0.0770601587212,0.371033846407,-0.208045202297,-0.154195618463,-0.108583845008,-0.120450943114,-0.0643346389601,-0.0918242598877,-0.0887966185597,-0.0105588167496,0.0967587719481,0.00707325858158,-0.0322678809092,0.310672153489,0.122010473387,0.256684596232,0.0360470653594,0.00870670534259,0.00914328614147,0.0710344908,0.118997512173,0.995005985575,0.405573705757,0.79875001344,0.805908133942,0.0802915197205,0.00863064498266,-0.00574193307012,-0.0295388758653,0.344123422741,0.293523054667,0.83635735781,0.843821632005,0.909073649498,0.739064246038,0.782237349161,0.886635741225,0.894666817281,0.837880285692,0.800088159784,-0.251904909794,0.467276427602,-0.301588865833,0.999861144248,0.19553083313,0.936731028542,0.529402840501,1.0,0.116570088095,0.592257275619,0.996727057424,0.389010828049,0.00241374122014,-0.389010828048,0.533712221844,0.144052602455,0.109569326422,0.094291870782,0.724774031425,-0.0260173479691,0.0122651268308,-0.0158127051152,-0.319512795269,-0.309546912899,-0.0791893163936
cumul_UseWindowInfo,0.0818074207397,0.0675081314008,0.0957248559529,0.092198799674,0.019339907159,0.0373431261648,0.0436425963566,0.0249067722145,0.148420235105,0.0309199399606,0.119121923157,0.0215564630744,0.0516920707365,0.144220158949,0.0410513737629,0.0596165076238,0.0862968274444,0.0283869733437,-0.0437140482771,0.0868055825663,-0.0411292301822,0.0672948832611,0.0577634085284,0.0689696135447,0.0235531302478,0.068278168841,0.551567355346,0.199642035668,0.0525730846407,0.0308808200253,0.00154919102408,-0.0308808200253,0.0511923066629,0.273446269868,-0.0471793520442,0.0646917697567,0.0191697212443,-0.115993003357,-0.0833768007752,-0.156680057453,-0.0993275350061,-0.0972022161219,-0.114374202079,-0.113036065756,-0.0278472180045,-0.072238211095,-0.0705780072437,-0.0972865476418,-0.0618004222434,-0.0399438735559,-0.046702603834,0.0282255026546,0.0167192449699,-0.0182254839983,-0.0232346651559,-0.00973556984609,0.142265463245,0.0860165744931,0.155118601678,0.14656555727,0.18716932611,0.0474175287264,0.0277308551235,0.0585484376458,-0.035367246446,0.291294765626,0.0597882680334,0.158168582307,0.0577734516308,0.0750691256123,0.26267096181,0.0814313628302,0.0894208123458,0.125300325795,0.0512337020627,-0.09311971797,0.132388765579,-0.0835649168002,0.115012962795,0.113478712123,0.117513870216,0.0415507322558,0.116570088095,1.0,0.315603010875,0.0914509559893,0.0168793770142,0.00589327028401,-0.0168793770143,0.0914294783071,0.548068861868,0.0534333660104,0.223603550348,0.0356956221602,0.0778280016703,0.0700391898678,0.121903600526,0.0358502160194,0.0467077019666,0.00873924519854
cumul_NonPSelements,0.212371161252,0.278663382207,0.186071929916,0.192160522258,-0.0915394672149,-0.0137251863298,-0.0316435712711,-0.0128001014457,0.106156437602,0.157104824293,0.202211295958,0.169263689812,0.158909057965,0.173388277155,0.15063246848,0.202928248066,0.199608409077,0.168334838695,-0.09052688024,0.208672773556,-0.138165359539,0.211287591408,0.0707419795016,0.191170839745,0.12410965668,0.212030685003,0.126686869471,0.31249981221,0.189714220709,0.0788450648306,0.263985717141,-0.0788450648306,0.102654489354,0.10130271589,-0.1601326317,0.0512895345848,0.113540405031,-0.207115432292,-0.0763598493785,-0.142693726311,-0.0711253692206,-0.0584410294657,-0.110137086602,-0.142794801429,-0.0575588211664,-0.0129108732527,-0.0612714008643,-0.107811553222,0.128452776514,0.134692065297,0.0381208451135,-0.000815425636568,0.00989506802033,-0.00539722312081,-0.00255654734181,0.0177071925665,0.595293008863,0.768490153535,0.549344971808,0.545933888707,0.190510363871,-0.0145652685685,-0.0509350435854,-0.0256684678383,0.440868874251,0.357699125018,0.430816034589,0.506778791721,0.490101660906,0.361216650161,0.507729716442,0.491262367576,0.476696389371,0.503739862241,0.386681592634,-0.189105135388,0.131358390608,-0.295712373264,0.591907018202,0.131577727597,0.571640468609,0.272694135987,0.592257275619,0.315603010875,1.0,0.525181773118,0.0512508896317,0.35690111292,-0.0512508896312,0.261797589187,0.339922570065,0.364542270335,0.308290545063,0.335071295159,-0.0559363679054,-0.0292314604425,-0.00467888679772,-0.243674453635,-0.239765166997,-0.143382964325
cumul_AppCount,0.504671910259,0.0906635223328,0.37769517571,0.390353375095,-0.19414089244,-0.00170556656802,-0.0421556723374,-0.0142774548659,0.0789371899652,0.442239402249,0.417990539543,0.471288473124,0.387793303195,0.366177291446,0.447015983191,0.48490405387,0.434445453231,0.434635832922,-0.115226750968,0.480579904186,-0.231079876799,0.512033800755,0.087990781103,0.460026267116,0.303414521105,0.512066310724,0.00373250584009,0.00928288585446,0.522305713569,0.327071987109,0.00610276644493,-0.327071987109,0.308588117255,-0.000885935693866,-0.314667460984,-0.0865327844683,0.380475182224,-0.198946719568,-0.155192238897,-0.100364210339,-0.120078041966,-0.0620835359648,-0.085930001391,-0.0794558307436,-0.00537682278657,0.103486921204,0.0136177389475,-0.0232629731344,0.315228152263,0.115347519416,0.267272264956,0.0381528456898,0.00820280144962,0.0101981638759,0.075279429504,0.123902424842,0.991148065581,0.351243578299,0.788482667024,0.796384933756,0.0656859076426,0.0105765647293,-0.000954041478044,-0.0286221178547,0.319213079119,0.274115986316,0.840093540455,0.840355610051,0.910944603808,0.744320493385,0.775218089743,0.887130399676,0.897073802106,0.834385563675,0.80621588926,-0.247076024778,0.480333917405,-0.288853778471,0.996615546371,0.193308357174,0.931974137243,0.531768451363,0.996727057424,0.0914509559893,0.525181773118,1.0,0.405711012961,-0.0332584559745,-0.405711012959,0.537413041171,0.118036587224,0.0791470625552,0.0686555186201,0.731851063819,-0.0218660989288,0.0158865675631,-0.0162311256405,-0.313005040358,-0.302871810983,-0.0692500880829
cumul_AppRatio,0.303574717069,0.0488395654013,0.273940774964,0.306527742227,-0.381088588444,0.0700396880116,-0.00558752891552,0.0835071315637,0.00906234102289,0.309567349096,0.312108368034,0.27509195769,0.155732834545,0.26962751772,0.396260889761,0.238007583685,0.252789706227,0.183207855126,0.129143511725,0.369716948611,-0.0370129574451,0.303571895005,0.0456593421496,0.296001458097,0.127994577518,0.303453253601,-0.0158133227898,-0.297033798217,0.33555080442,0.707320853748,-0.040900873377,-0.707320853748,0.170916706632,-0.0252437689438,-0.657429633838,-0.192321585878,0.196392887891,0.0265789027998,-0.00931696443316,0.0449141197705,0.0038632253935,0.0208030757145,0.0350596473591,0.0421146949035,0.0226101623163,0.0481924332408,0.0396630682971,0.0442837985111,0.0417699654988,0.00763703838531,0.0443616030283,0.0197767858657,0.00193486844676,-0.00084686427393,0.0209445354308,0.0111502781805,0.391240585125,0.103861542028,0.373748825452,0.399483907189,-0.126580702633,0.0936773285604,0.020113656418,0.00263130139294,0.143647129721,0.0734944499283,0.348794819543,0.352005221623,0.341016692868,0.209756827427,0.348857566754,0.443989230635,0.292838651549,0.315242695434,0.233537503453,0.135183703666,0.441068225812,0.0100359310955,0.388951557771,0.0763728074091,0.386623003369,0.152080831072,0.389010828049,0.0168793770142,0.0512508896317,0.405711012961,1.0,-0.0464002294251,-1.0,0.227011428336,0.0260559457627,-0.330966127621,-0.084993164026,0.281337917577,0.0740179684596,0.117528765369,0.0191913503174,-0.341689364626,-0.347850493388,0.100389253879
cumul_hintRatio,-0.0188286420364,0.476426537546,-0.0138095776355,-0.00770369930186,-0.0806741350277,-0.0139575722316,-0.0120886963474,0.0218716858227,0.022964261593,-0.0217730069304,-0.00258225064453,-0.0447354209273,-0.0274723954238,-0.0138367020681,-0.0471532380267,-0.0174673637396,-0.0129312955464,-0.017727349363,0.0183559245173,-0.0286544387932,-0.0140124735297,-0.0193156980819,0.0157859637641,-8.35296768976e-05,-0.0486592895417,-0.0189120610014,0.0103805860883,0.242203436867,-0.0401585314541,-0.0570167959269,0.653086668914,0.0570167959269,-0.0320823836033,0.0353966027802,-0.1188294359,-0.0201705167112,-0.0317530870678,-0.100978964247,-0.0216409867222,-0.105245868398,-0.0534943340373,-0.00945293492369,-0.0743865809725,-0.0795401979889,-0.0346006783046,-0.0478776992754,-0.0724310656064,-0.0733850058164,-0.0184064949649,0.0301407753376,-0.0546029182432,-0.0210777300651,-0.0318122887042,0.0166249003572,-0.0315332519188,-0.0155190838898,0.00255499716165,0.638231371445,0.00432288240268,0.0111928708786,-0.0779507854307,-0.0102941101903,-0.037761569395,-0.0308399207153,0.0734286476971,0.0618128284491,-0.0157292076824,0.00498169951756,-0.0405299704631,-0.0258149524257,0.00576653068931,-0.0256594513147,-0.0203687064418,-0.0113688218127,-0.023544615041,0.0663402114669,-0.0007591275521,-0.0440502921109,0.00209031802484,0.019485987863,0.0259567455223,-0.0561503910127,0.00241374122014,0.00589327028401,0.35690111292,-0.0332584559745,-0.0464002294251,1.0,0.0464002294249,-0.0320765857816,0.0548214855512,-0.117129189336,0.0145178514151,-0.0357854930269,-0.0501183583434,-0.0519560594946,-0.00918015164309,-0.00554276669389,0.0081805107928,-0.104723604617
cumul_BlankRatio,-0.303574717068,-0.0488395654011,-0.273940774964,-0.306527742226,0.381088588444,-0.0700396880116,0.00558752891558,-0.0835071315639,-0.00906234102243,-0.309567349096,-0.312108368034,-0.275091957689,-0.155732834545,-0.26962751772,-0.396260889761,-0.238007583684,-0.252789706227,-0.183207855126,-0.129143511725,-0.36971694861,0.0370129574447,-0.303571895004,-0.0456593421496,-0.296001458097,-0.127994577518,-0.303453253601,0.0158133227898,0.297033798217,-0.33555080442,-0.707320853748,0.040900873377,0.707320853748,-0.170916706632,0.0252437689437,0.657429633838,0.192321585878,-0.196392887891,-0.0265789028004,0.00931696443272,-0.0449141197702,-0.00386322539385,-0.0208030757149,-0.0350596473596,-0.0421146949038,-0.0226101623164,-0.0481924332407,-0.039663068297,-0.0442837985115,-0.0417699654989,-0.00763703838541,-0.0443616030262,-0.0197767858658,-0.00193486844689,0.000846864273927,-0.0209445354308,-0.0111502781805,-0.391240585124,-0.103861542028,-0.373748825451,-0.399483907188,0.126580702634,-0.0936773285606,-0.0201136564173,-0.00263130139318,-0.143647129721,-0.0734944499282,-0.348794819542,-0.352005221622,-0.341016692866,-0.209756827425,-0.348857566753,-0.443989230632,-0.292838651548,-0.315242695433,-0.233537503452,-0.135183703667,-0.44106822581,-0.0100359310955,-0.388951557769,-0.0763728074092,-0.386623003369,-0.152080831068,-0.389010828048,-0.0168793770143,-0.0512508896312,-0.405711012959,-1.0,0.0464002294249,1.0,-0.227011428336,-0.0260559457628,0.330966127621,0.0849931640264,-0.281337917576,-0.0740179684596,-0.117528765369,-0.0191913503172,0.341689364626,0.347850493388,-0.100389253879
cumul_HoverHintCount,0.390400959859,0.0805165704234,0.314052364351,0.317050473015,-0.0974778877321,-0.00594934882866,-0.0241284503405,-0.0501498753409,0.0836064599311,0.194022880016,0.236735765189,0.269044944036,0.21779646169,0.286973582125,0.264452196024,0.240810068219,0.286464568079,0.161980675725,-0.155947108223,0.274283696305,-0.248212294685,0.393751243243,0.134300256932,0.37296320959,0.194424959651,0.395188334831,0.0205869372691,0.0623189267733,0.398345181643,0.171250610202,-0.00602623280318,-0.171250610202,0.656790564496,0.0293388907155,-0.156856860001,-0.0414699418108,0.213291061393,-0.0695500300726,-0.10488283038,-0.124605041568,-0.117261481355,-0.0366165577669,-0.102374259644,-0.0873858528696,-0.0151568989745,0.0165316744049,-0.014145905663,-0.0387422564479,0.113945971861,0.0510217230628,-0.0276993530321,-0.0295245307722,0.0169665274766,0.0556189797895,0.0645310087733,0.156561021786,0.535324897296,0.181775838178,0.436535037234,0.44183749388,0.0286736762821,-0.0141453838653,-0.0146165401748,-0.0391776893841,0.0952119771672,0.201404439361,0.255219759456,0.334022329957,0.357828770662,0.27644100234,0.441303666299,0.351192429815,0.312962948489,0.396877578269,0.208118599757,-0.271410442574,0.240288163015,-0.328898163328,0.529943875239,0.321766465261,0.517200769303,0.24072771442,0.533712221844,0.0914294783071,0.261797589187,0.537413041171,0.227011428336,-0.0320765857816,-0.227011428336,1.0,0.171080819868,0.022772815679,0.0274802995523,0.33402105631,0.0535899259072,0.0667198696796,0.0640814614143,-0.117282703369,-0.113469214697,0.00745157785294
