student,currProb,course,session,priorTutorAction,reward
000c-F14,4.1.1.0,226-001-BARNES-F14,3,WE,0.0
000c-F14,4.1.2.0,226-001-BARNES-F14,3,PS,0.0
000c-F14,4.1.3.0,226-001-BARNES-F14,4,PS,107.5728155
000c-F14,5.1.1.0,226-001-BARNES-F14,4,WE,0.0
000c-F14,5.1.2.0,226-001-BARNES-F14,4,WE,0.0
000c-F14,5.1.3.0,226-001-BARNES-F14,4,PS,-133.2057416
000c-F14,6.1.1.0,226-001-BARNES-F14,5,PS,0.0
000c-F14,6.1.2.0,226-001-BARNES-F14,5,WE,0.0
000c-F14,6.1.3.0,226-001-BARNES-F14,5,PS,133.2057416
0010-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0
0010-F14,1.0.2.0,226-001-BARNES-F14,4,WE,0.0
0010-F14,1.0.3.0,226-001-BARNES-F14,4,WE,0.0
0010-F14,1.0.4.0,226-001-BARNES-F14,4,PS,-65.13157895
0010-F14,2.1.1.0,226-001-BARNES-F14,8,PS,0.0
0010-F14,2.1.2.0,226-001-BARNES-F14,8,WE,0.0
0010-F14,2.1.3.0,226-001-BARNES-F14,8,PS,132.8626714
0010-F14,3.1.1.0,226-001-BARNES-F14,8,PS,0.0
0010-F14,3.1.2.0,226-001-BARNES-F14,8,WE,0.0
0010-F14,3.1.3.0,226-001-BARNES-F14,8,PS,-95.69225749
0010-F14,4.1.1.0,226-001-BARNES-F14,9,PS,0.0
0010-F14,4.1.2.0,226-001-BARNES-F14,10,WE,0.0
0010-F14,4.1.3.0,226-001-BARNES-F14,10,PS,34.92545076
0010-F14,5.1.1.0,226-001-BARNES-F14,10,WE,0.0
0010-F14,5.1.2.0,226-001-BARNES-F14,10,WE,0.0
0010-F14,5.1.3.0,226-001-BARNES-F14,10,PS,-66.96428571
0010-F14,6.1.1.0,226-001-BARNES-F14,10,PS,0.0
0010-F14,6.1.2.0,226-001-BARNES-F14,10,WE,0.0
0010-F14,6.1.3.0,226-001-BARNES-F14,10,PS,70.09345794
0012-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0
0012-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0
0012-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0
0012-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-17.76315789
0012-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0.0
0012-F14,2.1.2.0,226-001-BARNES-F14,6,WE,0.0
0012-F14,2.1.3.0,226-001-BARNES-F14,6,PS,0.0
0012-F14,2.1.1.0,226-001-BARNES-F14,6,PS,0.0
0012-F14,2.-1.4.0,226-001-BARNES-F14,6,PS,0.0
0012-F14,2.-1.1.0,226-001-BARNES-F14,6,PS,0.0
0012-F14,2.-1.1.1,226-001-BARNES-F14,6,PS,15.82767402
0012-F14,3.1.1.0,226-001-BARNES-F14,6,WE,0.0
0012-F14,3.1.2.0,226-001-BARNES-F14,6,PS,0.0
0012-F14,3.1.3.0,226-001-BARNES-F14,6,PS,0.0
0012-F14,3.-1.2.0,226-001-BARNES-F14,6,PS,0.0
0012-F14,3.-1.2.1,226-001-BARNES-F14,6,PS,0.0
0012-F14,3.-1.3.1,226-001-BARNES-F14,7,PS,0.0
0012-F14,3.-1.4.0,226-001-BARNES-F14,7,PS,0.0
0012-F14,3.-1.4.1,226-001-BARNES-F14,7,PS,0.0
0012-F14,3.-1.2.0,226-001-BARNES-F14,7,PS,0.0
0012-F14,3.-1.2.1,226-001-BARNES-F14,7,PS,0.0
0012-F14,3.-1.3.0,226-001-BARNES-F14,9,PS,0.0
0012-F14,3.-1.3.1,226-001-BARNES-F14,9,PS,0.0
0012-F14,3.-1.4.0,226-001-BARNES-F14,9,PS,-8.613966678
0012-F14,4.1.1.0,226-001-BARNES-F14,9,PS,0.0
0012-F14,4.1.2.0,226-001-BARNES-F14,9,WE,0.0
0012-F14,4.1.3.0,226-001-BARNES-F14,9,PS,0.0
0012-F14,4.-1.3.0,226-001-BARNES-F14,9,PS,0.0
0012-F14,4.-1.3.1,226-001-BARNES-F14,10,PS,0.0
0012-F14,4.-1.4.0,226-001-BARNES-F14,10,PS,-20.87912088
0012-F14,5.1.1.0,226-001-BARNES-F14,11,WE,0.0
0012-F14,5.1.2.0,226-001-BARNES-F14,11,PS,0.0
0012-F14,5.1.3.0,226-001-BARNES-F14,11,PS,0.0
0012-F14,5.-1.3.0,226-001-BARNES-F14,11,PS,0.0
