student,currProb,course,session,priorTutorAction,reward,Level,probDiff
000c-F14,1.0.4.0,226-001-BARNES-F14,2,PS,40.78947368,1,0
000c-F14,2.1.1.0,226-001-BARNES-F14,3,WE,0,2,1
000c-F14,2.1.2.0,226-001-BARNES-F14,3,WE,0,2,1
000c-F14,2.1.3.0,226-001-BARNES-F14,3,PS,-31.04157452,2,1
000c-F14,3.1.1.0,226-001-BARNES-F14,3,WE,0,3,1
000c-F14,3.1.2.0,226-001-BARNES-F14,3,WE,0,3,1
000c-F14,3.1.3.0,226-001-BARNES-F14,3,PS,-17.32071469,3,1
000c-F14,4.1.1.0,226-001-BARNES-F14,3,WE,0,4,1
000c-F14,4.1.2.0,226-001-BARNES-F14,3,PS,0,4,1
000c-F14,4.1.3.0,226-001-BARNES-F14,4,PS,107.5728155,4,1
000c-F14,5.1.1.0,226-001-BARNES-F14,4,WE,0,5,1
000c-F14,5.1.2.0,226-001-BARNES-F14,4,WE,0,5,1
000c-F14,5.1.3.0,226-001-BARNES-F14,4,PS,-133.2057416,5,1
000c-F14,6.1.1.0,226-001-BARNES-F14,5,PS,0,6,1
000c-F14,6.1.2.0,226-001-BARNES-F14,5,WE,0,6,1
000c-F14,6.1.3.0,226-001-BARNES-F14,5,PS,133.2057416,6,1
0010-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,1,0
0010-F14,1.0.2.0,226-001-BARNES-F14,4,WE,0,1,0
0010-F14,1.0.3.0,226-001-BARNES-F14,4,WE,0,1,0
0010-F14,1.0.4.0,226-001-BARNES-F14,4,PS,-65.13157895,1,0
0010-F14,2.1.1.0,226-001-BARNES-F14,8,PS,0,2,1
0010-F14,2.1.2.0,226-001-BARNES-F14,8,WE,0,2,1
0010-F14,2.1.3.0,226-001-BARNES-F14,8,PS,132.8626714,2,1
0010-F14,3.1.1.0,226-001-BARNES-F14,8,PS,0,3,1
0010-F14,3.1.2.0,226-001-BARNES-F14,8,WE,0,3,1
0010-F14,3.1.3.0,226-001-BARNES-F14,8,PS,-95.69225749,3,1
0010-F14,4.1.1.0,226-001-BARNES-F14,9,PS,0,4,1
0010-F14,4.1.2.0,226-001-BARNES-F14,10,WE,0,4,1
0010-F14,4.1.3.0,226-001-BARNES-F14,10,PS,34.92545076,4,1
0010-F14,5.1.1.0,226-001-BARNES-F14,10,WE,0,5,1
0010-F14,5.1.2.0,226-001-BARNES-F14,10,WE,0,5,1
0010-F14,5.1.3.0,226-001-BARNES-F14,10,PS,-66.96428571,5,1
0010-F14,6.1.1.0,226-001-BARNES-F14,10,PS,0,6,1
0010-F14,6.1.2.0,226-001-BARNES-F14,10,WE,0,6,1
0010-F14,6.1.3.0,226-001-BARNES-F14,10,PS,70.09345794,6,1
0012-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,1,0
0012-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,1,0
0012-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,1,0
0012-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-17.76315789,1,0
0012-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0,2,1
0012-F14,2.1.2.0,226-001-BARNES-F14,6,WE,0,2,1
0012-F14,2.1.3.0,226-001-BARNES-F14,6,PS,0,2,1
0012-F14,2.1.1.0,226-001-BARNES-F14,6,PS,0,2,1
0012-F14,2.-1.4.0,226-001-BARNES-F14,6,PS,0,2,-1
0012-F14,2.-1.1.0,226-001-BARNES-F14,6,PS,0,2,-1
0012-F14,2.-1.1.1,226-001-BARNES-F14,6,PS,15.82767402,2,-1
0012-F14,3.1.1.0,226-001-BARNES-F14,6,WE,0,3,1
0012-F14,3.1.2.0,226-001-BARNES-F14,6,PS,0,3,1
0012-F14,3.1.3.0,226-001-BARNES-F14,6,PS,0,3,1
0012-F14,3.-1.2.0,226-001-BARNES-F14,6,PS,0,3,-1
0012-F14,3.-1.2.1,226-001-BARNES-F14,6,PS,0,3,-1
0012-F14,3.-1.3.1,226-001-BARNES-F14,7,PS,0,3,-1
0012-F14,3.-1.4.0,226-001-BARNES-F14,7,PS,0,3,-1
0012-F14,3.-1.4.1,226-001-BARNES-F14,7,PS,0,3,-1
0012-F14,3.-1.2.0,226-001-BARNES-F14,7,PS,0,3,-1
0012-F14,3.-1.2.1,226-001-BARNES-F14,7,PS,0,3,-1
0012-F14,3.-1.3.0,226-001-BARNES-F14,9,PS,0,3,-1
0012-F14,3.-1.3.1,226-001-BARNES-F14,9,PS,0,3,-1
0012-F14,3.-1.4.0,226-001-BARNES-F14,9,PS,-8.613966678,3,-1
0012-F14,4.1.1.0,226-001-BARNES-F14,9,PS,0,4,1
0012-F14,4.1.2.0,226-001-BARNES-F14,9,WE,0,4,1
0012-F14,4.1.3.0,226-001-BARNES-F14,9,PS,0,4,1
0012-F14,4.-1.3.0,226-001-BARNES-F14,9,PS,0,4,-1
0012-F14,4.-1.3.1,226-001-BARNES-F14,10,PS,0,4,-1
0012-F14,4.-1.4.0,226-001-BARNES-F14,10,PS,-20.87912088,4,-1
0012-F14,5.1.1.0,226-001-BARNES-F14,11,WE,0,5,1
0012-F14,5.1.2.0,226-001-BARNES-F14,11,PS,0,5,1
0012-F14,5.1.3.0,226-001-BARNES-F14,11,PS,0,5,1
0012-F14,5.-1.3.0,226-001-BARNES-F14,11,PS,0,5,-1
0012-F14,5.-1.4.0,226-001-BARNES-F14,11,PS,0,5,-1
0012-F14,5.-1.4.1,226-001-BARNES-F14,11,PS,0,5,-1
0012-F14,5.-1.4.1,226-001-BARNES-F14,11,PS,0,5,-1
0012-F14,5.-1.4.1,226-001-BARNES-F14,11,PS,0,5,-1
0012-F14,5.-1.4.0,226-001-BARNES-F14,12,PS,46.42857143,5,-1
0012-F14,6.1.1.0,226-001-BARNES-F14,12,PS,0,6,1
0012-F14,6.1.2.0,226-001-BARNES-F14,12,WE,0,6,1
0012-F14,6.1.3.0,226-001-BARNES-F14,12,PS,78.27102804,6,1
0016-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,1,0
0016-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,1,0
0016-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0,1,0
0016-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,1,0
0016-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,2,1
0016-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,2,1
0016-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875,2,1
0016-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0,3,1
0016-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,3,1
0016-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.75434446,3,1
0016-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,4,1
0016-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0,4,1
0016-F14,4.1.3.0,226-001-BARNES-F14,2,PS,-69.23543689,4,1
0016-F14,5.1.1.0,226-001-BARNES-F14,3,PS,0,5,1
0016-F14,5.1.2.0,226-001-BARNES-F14,3,WE,0,5,1
0016-F14,5.1.3.0,226-001-BARNES-F14,3,PS,-67.85287081,5,1
0016-F14,6.1.1.0,226-001-BARNES-F14,5,PS,0,6,1
0016-F14,6.1.2.0,226-001-BARNES-F14,5,WE,0,6,1
0016-F14,6.1.3.0,226-001-BARNES-F14,5,PS,67.91128203,6,1
001e-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,1,0
001e-F14,1.0.2.0,226-001-BARNES-F14,2,WE,0,1,0
001e-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0,1,0
001e-F14,1.0.4.0,226-001-BARNES-F14,2,PS,40.78947368,1,0
001e-F14,2.1.1.0,226-001-BARNES-F14,2,PS,0,2,1
001e-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0,2,1
001e-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-96.58779301,2,1
001e-F14,3.1.1.0,226-001-BARNES-F14,2,WE,0,3,1
001e-F14,3.1.2.0,226-001-BARNES-F14,2,PS,0,3,1
001e-F14,3.1.3.0,226-001-BARNES-F14,2,PS,146.2837562,3,1
001e-F14,4.1.1.0,226-001-BARNES-F14,2,WE,0,4,1
001e-F14,4.1.2.0,226-001-BARNES-F14,2,PS,0,4,1
001e-F14,4.1.3.0,226-001-BARNES-F14,2,PS,0,4,1
001e-F14,4.1.2.0,226-001-BARNES-F14,2,PS,-1.378294036,4,1
001e-F14,5.1.1.0,226-001-BARNES-F14,2,PS,0,5,1
001e-F14,5.1.2.0,226-001-BARNES-F14,2,WE,0,5,1
001e-F14,5.1.3.0,226-001-BARNES-F14,2,PS,-94.56168831,5,1
001e-F14,6.1.1.0,226-001-BARNES-F14,2,PS,0,6,1
001e-F14,6.1.2.0,226-001-BARNES-F14,2,WE,0,6,1
001e-F14,6.1.3.0,226-001-BARNES-F14,2,PS,50.12744265,6,1
0026-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,1,0
0026-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,1,0
0026-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0,1,0
0026-F14,1.0.4.0,226-001-BARNES-F14,2,PS,1.973684211,1,0
0026-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0,2,1
0026-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0,2,1
0026-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-48.52830606,2,1
0026-F14,3.1.1.0,226-001-BARNES-F14,2,WE,0,3,1
0026-F14,3.1.2.0,226-001-BARNES-F14,2,PS,0,3,1
0026-F14,3.1.3.0,226-001-BARNES-F14,2,PS,71.02064127,3,1
0026-F14,4.1.1.0,226-001-BARNES-F14,2,PS,0,4,1
0026-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0,4,1
0026-F14,4.1.3.0,226-001-BARNES-F14,2,PS,0,4,1
0026-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0,4,-1
0026-F14,4.-1.4.0,226-001-BARNES-F14,2,PS,0,4,-1
0026-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0,4,-1
0026-F14,4.-1.3.1,226-001-BARNES-F14,2,PS,0,4,-1
0026-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0,4,-1
0026-F14,4.-1.3.1,226-001-BARNES-F14,2,PS,0,4,-1
0026-F14,4.-1.3.0,226-001-BARNES-F14,3,PS,0,4,-1
0026-F14,4.-1.3.1,226-001-BARNES-F14,3,PS,0,4,-1
0026-F14,4.-1.3.0,226-001-BARNES-F14,4,PS,-113.037448,4,-1
0026-F14,5.-1.1.0,226-001-BARNES-F14,5,WE,0,5,-1
0026-F14,5.-1.2.0,226-001-BARNES-F14,5,PS,0,5,-1
0026-F14,5.-1.3.0,226-001-BARNES-F14,5,PS,0,5,-1
0026-F14,5.-1.4.0,226-001-BARNES-F14,5,PS,81.07142857,5,-1
0026-F14,6.-1.1.0,226-001-BARNES-F14,5,PS,0,6,-1
0026-F14,6.-1.2.0,226-001-BARNES-F14,5,PS,0,6,-1
0026-F14,6.-1.3.0,226-001-BARNES-F14,5,WE,0,6,-1
0026-F14,6.-1.4.0,226-001-BARNES-F14,5,PS,0,6,-1
0026-F14,6.-1.4.0,226-001-BARNES-F14,5,PS,0,6,-1
0026-F14,6.-1.4.1,226-001-BARNES-F14,5,PS,-25.47297297,6,-1
0030-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,1,0
0030-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,1,0
0030-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,1,0
0030-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-65.13157895,1,0
0030-F14,2.1.1.0,226-001-BARNES-F14,1,WE,0,2,1
0030-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,2,1
0030-F14,2.1.3.0,226-001-BARNES-F14,1,PS,41.26603273,2,1
0030-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0,3,1
0030-F14,3.1.2.0,226-001-BARNES-F14,1,PS,0,3,1
0030-F14,3.1.3.0,226-001-BARNES-F14,1,PS,48.33156564,3,1
0030-F14,4.1.1.0,226-001-BARNES-F14,1,WE,0,4,1
0030-F14,4.1.2.0,226-001-BARNES-F14,2,PS,0,4,1
0030-F14,4.1.3.0,226-001-BARNES-F14,2,PS,-69.28744799,4,1
0030-F14,5.1.1.0,226-001-BARNES-F14,2,WE,0,5,1
0030-F14,5.1.2.0,226-001-BARNES-F14,2,PS,0,5,1
0030-F14,5.1.3.0,226-001-BARNES-F14,2,PS,0.132433356,5,1
0030-F14,6.-1.1.0,226-001-BARNES-F14,2,PS,0,6,-1
0030-F14,6.-1.2.0,226-001-BARNES-F14,2,WE,0,6,-1
0030-F14,6.-1.3.0,226-001-BARNES-F14,2,WE,0,6,-1
0030-F14,6.-1.4.0,226-001-BARNES-F14,2,PS,-36.93262641,6,-1
0033-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,1,0
0033-F14,1.0.2.0,226-001-BARNES-F14,4,WE,0,1,0
0033-F14,1.0.3.0,226-001-BARNES-F14,4,WE,0,1,0
0033-F14,1.0.4.0,226-001-BARNES-F14,5,PS,0,1,0
0033-F14,1.0.1.0,226-001-BARNES-F14,5,PS,-34.86842105,1,0
0033-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0,2,1
0033-F14,2.1.2.0,226-001-BARNES-F14,5,WE,0,2,1
0033-F14,2.1.3.0,226-001-BARNES-F14,5,PS,0,2,1
0033-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0,2,1
0033-F14,2.-1.1.0,226-001-BARNES-F14,5,PS,0,2,-1
0033-F14,2.-1.4.0,226-001-BARNES-F14,5,PS,32.93293718,2,-1
0033-F14,3.1.1.0,226-001-BARNES-F14,5,PS,0,3,1
0033-F14,3.1.2.0,226-001-BARNES-F14,5,WE,0,3,1
0033-F14,3.1.3.0,226-001-BARNES-F14,5,PS,0,3,1
0033-F14,3.1.1.0,226-001-BARNES-F14,5,PS,0,3,1
0033-F14,3.-1.1.0,226-001-BARNES-F14,5,PS,0,3,-1
0033-F14,3.-1.4.0,226-001-BARNES-F14,6,PS,-83.3392414,3,-1
0033-F14,4.1.1.0,226-001-BARNES-F14,6,WE,0,4,1
0033-F14,4.1.2.0,226-001-BARNES-F14,6,PS,0,4,1
0033-F14,4.1.3.0,226-001-BARNES-F14,6,PS,174.3818681,4,1
0033-F14,5.1.1.0,226-001-BARNES-F14,6,WE,0,5,1
0033-F14,5.1.2.0,226-001-BARNES-F14,6,PS,0,5,1
0033-F14,5.1.3.0,226-001-BARNES-F14,6,PS,-70.63824334,5,1
0033-F14,6.1.1.0,226-001-BARNES-F14,6,PS,0,6,1
0033-F14,6.1.2.0,226-001-BARNES-F14,6,WE,0,6,1
0033-F14,6.1.3.0,226-001-BARNES-F14,6,PS,0,6,1
0033-F14,6.-1.3.0,226-001-BARNES-F14,7,PS,0,6,-1
0033-F14,6.-1.3.0,226-001-BARNES-F14,8,PS,0,6,-1
0033-F14,6.-1.3.1,226-001-BARNES-F14,8,PS,0,6,-1
0033-F14,6.-1.4.0,226-001-BARNES-F14,8,PS,-10.90133195,6,-1
0035-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,1,0
0035-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,1,0
0035-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,1,0
0035-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,1,0
0035-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,2,1
0035-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,2,1
0035-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875,2,1
0035-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0,3,1
0035-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,3,1
0035-F14,3.1.3.0,226-001-BARNES-F14,1,PS,0,3,1
0035-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,0,3,-1
0035-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,0,3,-1
0035-F14,3.-1.3.1,226-001-BARNES-F14,1,PS,0,3,-1
0035-F14,3.-1.3.0,226-001-BARNES-F14,1,PS,-167.7310924,3,-1
0035-F14,4.-1.2.0,226-001-BARNES-F14,2,WE,0,4,-1
0035-F14,4.-1.4.0,226-001-BARNES-F14,2,PS,0,4,-1
0035-F14,4.-1.1.0,226-001-BARNES-F14,2,PS,0,4,-1
