0,1,2,3,4,5
252.565797726,-310.798306334,-85.7868285139,5.18612463027,51.1439476695,-67.2168116575
-328.317440071,77.6154241291,-71.2064093654,-7.08811546085,-13.326267669,13.9034568051
-243.983411521,-574.377584055,82.0813410793,-142.10958893,43.9326134188,-12.0547236227
325.956799705,56.8226722037,-99.4691712588,-1.36449898631,-6.86168655837,-9.03770095012
-62.2280146892,-141.995353881,-63.9894287647,1.19110518275,59.3868786745,-28.8617463134
-306.475336471,-95.2376235714,-25.9190121327,-82.4739581895,-50.7452700996,38.4852006888
-238.345060898,91.0321954607,-71.8518703746,38.9243164934,-54.2140294491,9.10862119143
-264.58306788,-462.540595089,23.1784865155,-98.8764358277,-33.1038266662,25.3489878499
-317.326979478,-45.5798065325,-67.6355854246,-61.9066004497,-56.0887575181,33.057573464
-149.863817657,21.433306841,-87.3381140727,67.1296379272,-76.9818856018,18.5105776571
-71.0860776779,159.217066798,-141.730069018,28.7377533663,40.883015667,-23.239747679
-308.398605771,-89.4670976568,-34.4611584121,-71.0048518476,16.8005921863,6.41256428566
965.150443668,-178.554989096,-150.646076107,284.365520513,-62.175053553,-103.268628729
60.1177866554,223.347913473,-152.193848841,11.1824471036,44.7381586778,-15.7132803066
-346.052107421,237.07790633,-89.1106781657,4.98154646596,24.1105310472,-4.3108834892
570.694984798,-331.952958302,-65.8995930416,112.510262134,3.11902186181,-107.791195474
-65.9373291896,235.893239563,-167.585334712,27.190964325,33.8883479741,-31.7806968297
-335.888670396,111.787984993,-82.6427441861,-61.4177932334,55.4504820565,-10.040610717
816.432309888,-117.335216265,-126.539429481,114.004643975,18.4342107716,-72.9509267583
-275.955014361,-367.777892979,-8.45335431016,13.7111772451,6.62402289017,-10.0876794185
-223.972855937,85.5297191096,-107.902826864,-5.71485788649,7.06827594767,-4.24435069781
-246.969815234,-582.632415387,67.0975808753,-157.909986741,-32.4912032495,24.9754978141
-212.995219589,-10.4753195286,-70.8992676205,-0.331585661728,-64.9707484654,11.975111837
-133.223406214,-149.80558459,-55.6041855561,4.13225198085,61.5718815186,-22.0445977316
-308.39942774,-92.389511569,-36.1372805452,-66.363096871,37.2632161511,-3.83072424238
-208.732274418,94.8688447096,-86.7461494594,47.8744677025,14.1426332306,-16.5045999499
-101.68862804,-436.408440266,11.825349815,-77.9331428569,88.0815597943,-28.2414280194
-315.455908353,-40.2862352137,-50.64870689,-56.3840217364,-13.6333074836,19.5995354709
-225.300069714,19.729312165,-60.3878955893,79.1693240496,-21.5884217769,1.28103633158
-226.937713532,143.439548208,-118.518027048,34.7449933703,44.7570403998,-12.5927210081
-309.451121328,-90.4801869313,-41.5185240582,-68.9849799664,28.7344391889,2.6915646968
4.1923811719,-283.037945251,-44.9930540549,314.760965206,-39.7024873323,-65.6694449119
-263.569431796,186.088695311,-126.658864866,18.2252825843,45.4650354176,-12.5864869681
-351.268778006,227.963837897,-120.693020603,-0.841400400887,1.9541747041,11.3609256671
110.099975845,-385.216095326,-21.2361581124,128.535352577,-1.5224116802,-60.704213345
-223.646324911,222.26708136,-131.730067546,36.7590081853,42.5709826658,-8.00725736966
-335.610484011,111.853735478,-80.2217959497,-63.1218346699,45.9748031504,-6.44312619681
-91.3566510295,-215.960945491,-23.9345061391,139.737624435,21.8474114764,-37.3274000656
510.480344516,-276.921666252,-85.4639519531,4.46695586503,56.8393251642,-54.3701527613
-313.621412716,86.7578710183,-11.0458329633,-15.2691779084,-90.4985561616,74.683378259
924.778994109,-434.835843288,22.3207590879,-179.183609027,-25.9176411788,-28.8476908654
-121.069515438,41.5532069424,113.560321157,10.0518700614,-67.1066047395,8.64915541665
-300.638569298,-173.561289458,-45.5392066996,-6.11834397879,-4.69823504606,6.87292729911
-311.046972017,-97.6628875804,-55.2031565504,-69.9023661992,14.1669286566,4.92878529423
-201.411701262,93.1227291699,-90.106181133,46.7963592694,-8.55730829118,15.168440422
-264.076282154,-456.633242047,21.36987777,-77.9401306969,73.9351302539,-20.2236372622
-318.19807964,-41.2628590704,-71.0073479209,-44.4898579198,50.6239248374,-6.01525012518
-141.989442504,29.2167707079,-74.9148225356,87.1855135155,30.5668498528,1.64463524596
-77.4663508985,170.738333441,-75.9126234164,46.5612486246,65.0620806672,43.9086069683
-300.112903182,-75.2964136193,13.9137734713,-60.7526736477,56.5043463183,-17.5247215466
317.265090665,-216.239486722,81.8024990217,341.491041812,18.0179994285,22.7680686587
-182.960586845,197.97590465,-119.442598795,19.6125664625,49.7887827417,-1.58720885067
-348.06812543,234.448867983,-102.67181962,6.86544535018,37.0897500164,-6.60519710957
